episode_id,podcast_id,podcast_title,episode_title,published_date,relevant_clip_count,max_notable_score,max_confidence,stances,topics,potential_misinformation,corrective_context,politicized,top_candidate_id,top_clip_start_estimated,top_claim_summary
2113,2,The Joe Rogan Experience,#2294 - Dr. Suzanne Humphries,2025-03-26T17:00:00,32,5,0.99,critical;mixed;neutral;supportive,childhood_schedule;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;influenza;mandates_or_policy;misinformation_or_fact_checking;mmr_measles;other_vaccine;personal_decision_or_uptake;polio;safety_or_side_effects,True,False,True,episode_2113_clip_1,0.0,"Guest claims vaccines deplete vitamin A, lack proper placebo trials, and suggests polio decline was due to diagnostic changes rather than vaccination."
11765,2,The Joe Rogan Experience,#1717 - Alex Berenson,2021-10-12T17:00:00,32,5,0.99,mixed;supportive,conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;mandates_or_policy;misinformation_or_fact_checking;personal_decision_or_uptake;safety_or_side_effects,True,True,True,episode_11765_clip_2,321.2,Berenson cites UK/Israel data claiming majority of COVID deaths are among vaccinated; discusses waning efficacy and booster impacts.
11112,2,The Joe Rogan Experience,"#1757 - Dr. Robert Malone, MD",2021-12-31T18:00:00,26,5,0.99,mixed;neutral,childhood_schedule;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;mandates_or_policy;misinformation_or_fact_checking;other_vaccine;personal_decision_or_uptake;safety_or_side_effects,True,False,True,episode_11112_clip_10,3570.0,"Speaker compares mortality in vaccinated vs unvaccinated regions, questions VAERS data dismissal, and alleges financial incentives for COVID diagnoses."
8449,2,The Joe Rogan Experience,#1864 - Alex Berenson,2022-08-26T17:00:00,24,5,0.99,mixed;supportive,conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;mandates_or_policy;misinformation_or_fact_checking;other_vaccine;personal_decision_or_uptake;safety_or_side_effects,True,False,True,episode_8449_clip_1,0.0,Guest claims Twitter banned him for stating vaccines don't stop infection/transmission and shouldn't be mandated.
11285,2,The Joe Rogan Experience,#1747 - Dr. Peter A. McCullough,2021-12-13T18:00:00,23,5,0.98,mixed,access_or_equity;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;mandates_or_policy;misinformation_or_fact_checking;safety_or_side_effects,True,False,True,episode_11285_clip_11,5355.0,
7806,2,The Joe Rogan Experience,#1919 - Bret Weinstein,2023-01-04T18:00:00,22,5,0.99,mixed;neutral;supportive,childhood_schedule;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;mandates_or_policy;misinformation_or_fact_checking;personal_decision_or_uptake;safety_or_side_effects,True,False,True,episode_7806_clip_1,766.7,Discusses Geert van den Bosch's claim that vaccines aid variant creation and mentions YouTube demonetization.
6882,2,The Joe Rogan Experience,"#1999 - Robert Kennedy, Jr.",2023-06-15T17:00:01,20,5,0.99,mixed;supportive,childhood_schedule;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;mandates_or_policy;misinformation_or_fact_checking;safety_or_side_effects,True,False,True,episode_6882_clip_5,1883.1,"Claims DTP vaccine kills African children, vaccines lack placebo trials, and injury rates are vastly underreported."
11753,2,The Joe Rogan Experience,#1718 - Dr. Sanjay Gupta,2021-10-13T17:00:00,19,5,0.99,mixed;neutral,conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;mandates_or_policy;misinformation_or_fact_checking;personal_decision_or_uptake;safety_or_side_effects,True,True,True,episode_11753_clip_15,7735.0,"Rogan cites friends' adverse reactions (strokes, fluid buildup) and underreporting concerns; Gupta argues for vaccinating vulnerable populations."
1129,2,The Joe Rogan Experience,#2335 - Dr. Mary Talley Bowden,2025-06-10T17:00:00,18,5,0.99,mixed,childhood_schedule;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;influenza;mandates_or_policy;misinformation_or_fact_checking;personal_decision_or_uptake;polio;safety_or_side_effects,True,False,True,episode_1129_clip_1,0.0,"Guest argues mRNA vaccines should not be given to pregnant women or children, alleging fraud and corruption drove recommendations."
3909,17,The Tucker Carlson Show,"Bill Gates, Truth About Vaccines, & Big Pharma’s Plot to Destroy Doctors Who Question ”The Science”",2025-09-08T18:30:00,18,5,0.99,critical;mixed,childhood_schedule;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;mandates_or_policy;misinformation_or_fact_checking;personal_decision_or_uptake;safety_or_side_effects,True,False,True,episode_3909_clip_7,2975.0,"Guest describes giving saline shots instead of vaccines, claims product data sheets were blank, and alleges animal studies showed 100% mortality."
10715,2,The Joe Rogan Experience,#1780 - Maajid Nawaz,2022-02-19T18:00:00,18,5,0.99,mixed;neutral,childhood_schedule;conspiracy_or_institutional_trust;covid19;efficacy_or_immunity;mandates_or_policy;misinformation_or_fact_checking;safety_or_side_effects,True,True,True,episode_10715_clip_11,7140.0,
12420,2,The Joe Rogan Experience,#1671 - Bret Weinstein & Dr. Pierre Kory,2021-06-22T23:01:17,17,5,0.99,mixed,childhood_schedule;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;mandates_or_policy;misinformation_or_fact_checking;personal_decision_or_uptake;safety_or_side_effects,True,True,True,episode_12420_clip_14,8330.0,
19740,2,The Joe Rogan Experience,#1261 - Peter Hotez,2019-03-11T00:00:00,17,5,0.98,mixed;neutral,access_or_equity;childhood_schedule;conspiracy_or_institutional_trust;development_or_approval;efficacy_or_immunity;influenza;mandates_or_policy;misinformation_or_fact_checking;mmr_measles;other_vaccine;personal_decision_or_uptake;polio;safety_or_side_effects,False,True,True,episode_19740_clip_3,463.1,
5703,2,The Joe Rogan Experience,#2101 - Bret Weinstein,2024-02-13T18:00:00,16,5,0.99,mixed,access_or_equity;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;influenza;mandates_or_policy;misinformation_or_fact_checking;other_vaccine;personal_decision_or_uptake;safety_or_side_effects,True,False,True,episode_5703_clip_3,6859.9,"Claims WHO treaty proposals aim to mandate vaccines, gene therapy, and lockdowns while censoring dissent, surrendering national sovereignty."
7080,2,The Joe Rogan Experience,#1979 - Dr. Aseem Malhotra,2023-04-29T17:00:00,16,5,0.99,mixed;supportive,conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;mandates_or_policy;misinformation_or_fact_checking;mmr_measles;personal_decision_or_uptake;safety_or_side_effects,True,False,True,episode_7080_clip_4,3570.0,Guest claims COVID vaccine caused his clinical depression and energy depletion via spike protein toxicity.
6174,17,The Tucker Carlson Show,"Aaron Siri: Everything You Should Know About the Polio Vaccine, & Its Link to the Abortion Industry",2024-12-27T18:32:00,16,5,0.98,supportive,childhood_schedule;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;influenza;mandates_or_policy;misinformation_or_fact_checking;mmr_measles;other_vaccine;personal_decision_or_uptake;polio;safety_or_side_effects,True,False,True,episode_6174_clip_1,0.0,Guest claims a specific polio vaccine was licensed based on a 3-day safety trial with no control group using monkey kidney cells.
6320,18,The Megyn Kelly Show,"Incoming HHS Secretary Robert F. Kennedy Jr. Deep Dive, Part 1 - on Fauci, Vaccines, and Big Pharma",2024-11-27T19:00:00,15,5,0.99,mixed;neutral;supportive,childhood_schedule;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;influenza;mandates_or_policy;misinformation_or_fact_checking;mmr_measles;other_vaccine;safety_or_side_effects,True,True,True,episode_6320_clip_2,688.8,RFK Jr. claims mercury in vaccines causes brain damage and alleges experts lie about ethyl mercury safety compared to methyl mercury.
9336,2,The Joe Rogan Experience,#1800 - Gavin de Becker,2022-04-01T17:00:00,15,5,0.99,mixed,childhood_schedule;conspiracy_or_institutional_trust;covid19;development_or_approval;efficacy_or_immunity;hpv;influenza;mandates_or_policy;misinformation_or_fact_checking;personal_decision_or_uptake;polio;safety_or_side_effects,True,False,True,episode_9336_clip_1,4409.2,Claims treatments were suppressed to protect vaccine Emergency Use Authorization status and pharma profits.
